E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
88.35616438,100,7.936507937,0,0,0,71.42857143,100,50.57471264,100,76.55172414,83.33333333,60,80,100,100
0,0,0,0,31.875,0,0,0,0,0,71.31782946,60,0,0,100,60
0,100,10.13513514,25,0,4.90797546,100,60,0,100,81.3559322,62.41610738,75,0,100,100
0,0,0,0,0,0,0,0,0,0,0,71.42857143,0,75,66.66666667,71.42857143
27.77777778,100,14.28571429,0,0,28.57142857,74.66666667,57.04697987,55.27950311,100,71.42857143,80,60,80,50,100
0,100,0,42.20779221,82.17054264,0,79.31034483,23.23943662,0,100,100,80,71.42857143,100,100,100
68.09815951,57.77777778,4.026845638,85.71428571,0,0,0,0,0,0,0,66.66666667,50,71.42857143,66.66666667,0
9.022556391,100,0,0,6.617647059,74.59016393,69.49152542,66.66666667,62.06896552,100,74.32432432,0,100,66.66666667,0,100
0,100,0,0,0,0,100,74.45255474,41.8079096,100,58.46153846,80,60,0,100,100
23.88888889,100,10,0,0,22.87581699,36.24161074,100,35.71428571,100,16.25,66.66666667,0,66.66666667,100,100
0,81.34328358,0,0,0,95.83333333,68.88888889,0,31.44654088,0,80,75,0,0,66.66666667,60
81.1023622,73.4375,25,0,0,82.35294118,0,0,0,42.52873563,0,100,0,0,71.42857143,0
92.85714286,100,18.91891892,0,0,0,66.66666667,15.90909091,38.15028902,100,49.0797546,80,60,100,100,100
0,0,31.15942029,0,42.37288136,0,0,8.474576271,60.6741573,0,63.87096774,0,60,71.42857143,60,80
34.01360544,14.28571429,0,0,0,0,0,37.93103448,18.06451613,58.49056604,0,0,0,71.42857143,80,60
97.05882353,0,84.7133758,33.9869281,0,3.246753247,22.22222222,0,0,0,0,0,75,0,0,66.66666667
0,100,0,9.420289855,0,0,50,44.57142857,0,100,64.66165414,83.33333333,60,0,100,100
0,100,0,18.11023622,0,75.19379845,50,95,5.747126437,100,75,66.66666667,75,100,100,100
3.773584906,100,0,6.896551724,64.16184971,55.92105263,44.51219512,23.07692308,90.72847682,100,67.27272727,83.33333333,100,66.66666667,100,100
71.42857143,100,20.99447514,0,4.469273743,17.5,80.41958042,81.14285714,0,100,85.6,100,50,100,50,100
42.85714286,100,0,0,29.03225806,0,100,56.94444444,20,100,60,80,71.42857143,93.75,100,100
36.25,100,0,0,4.519774011,57.14285714,100,55.17241379,80.50847458,100,74.4,80,71.42857143,0,100,100
0,100,0,0,89.94413408,0,100,100,0,100,100,0,87.5,0,100,100
0,100,0,0,91.17647059,83.67346939,0,31.48148148,92.30769231,100,58.06451613,0,60,100,50,100
0,100,0,40,36.48648649,0,13.95348837,100,0,100,56.90607735,66.66666667,0,100,100,100
0,100,0,33.10344828,10.46511628,0,78.39506173,100,34.19354839,100,40.42553191,66.66666667,75,87.5,100,100
0,100,0,0,45.83333333,0,100,70.34883721,0,100,60.25641026,100,60,100,100,100
0,100,0,0,15.81920904,0,66.66666667,0,69.23076923,100,71.42857143,100,75,100,100,100
0,100,35.91549296,0,0,0,84.09090909,52.55474453,0,100,57.3964497,0,0,100,100,100
0,100,14.28571429,0,21.95121951,0,100,100,40,100,100,100,0,83.33333333,100,100
