E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
91.66666667,100,0,87.5,80.6122449,0,57.30337079,52.94117647,57.14285714,100,32.67326733,83.33333333,60,66.66666667,100,100
0,100,84.3373494,0,0,77.17391304,100,0,24.77876106,100,41.59292035,100,0,100,100,100
0,100,0,0,0,0,100,100,11.11111111,100,100,75,60,0,100,100
0,100,97.36842105,0,0,0,100,100,0,100,0,100,0,0,100,100
0,100,53.84615385,12.5,0,0,100,100,0,100,100,0,0,100,100,100
0,100,0,0,0,0,100,40.77669903,0,100,60,0,0,100,100,100
0,100,39.09090909,0,83.33333333,39.77272727,100,100,53.7037037,100,100,100,60,100,100,100
0,100,0,0,28.57142857,0,100,100,27.52293578,100,100,100,0,0,100,100
42.85714286,100,0,0,0,0,100,100,0,100,50,100,85.71428571,100,100,100
33.33333333,100,0,16,0,37.07865169,100,100,0,100,100,100,60,100,100,100
56.89655172,100,28.86597938,94.11764706,0,0,66.66666667,71.27659574,60,100,66.66666667,85.71428571,87.5,75,100,100
0,100,0,0,53.04347826,0,100,66.66666667,76.19047619,100,100,100,0,100,100,100
0,100,0,0,0,0,100,100,0,100,100,75,0,100,100,100
0,100,67.39130435,81.81818182,89.47368421,14.28571429,14.03508772,66.66666667,0,100,100,100,71.42857143,100,100,100
0,100,88.29787234,0,0,0,100,100,65.13761468,100,100,100,0,0,100,100
0,100,0,73.17073171,25.3164557,52.67857143,100,100,0,100,100,0,0,80,100,100
87.5,100,0,37.62376238,0,0,100,50,84.61538462,100,100,0,0,100,100,100
0,100,75,0,0,60,100,100,0,100,71.42857143,100,87.5,100,0,100
0,100,0,32.65306122,0,2.830188679,100,100,0,100,0,100,80,100,100,100
0,100,0,38.73873874,11.40350877,37.34939759,100,100,71.17117117,100,100,100,60,100,100,100
0,100,0,4.807692308,0,87.5,100,70,0,100,62.33766234,100,0,100,0,100
0,100,0,0,0,77.64705882,100,100,0,100,100,80,100,100,100,100
54.54545455,100,0,78.20512821,0,69.04761905,100,100,0,100,50,100,60,0,100,100
0,100,30.10752688,0,0,0,100,100,0,100,100,100,60,100,100,100
0,100,0,0,0,75,100,78.76106195,0,100,59.13043478,100,0,100,100,100
86.60714286,100,15.29411765,75,0,0,75,20.90909091,0,100,66.66666667,0,60,100,100,100
0,100,0,65.04854369,0,0,100,100,0,100,100,80,60,100,100,100
69.76744186,100,0,45.16129032,46.06741573,90.90909091,100,42.85714286,95,100,100,0,87.5,100,100,100
0,100,0,92.30769231,16.66666667,0,100,66.66666667,0,100,100,100,0,71.2962963,100,100
0,100,0,54.05405405,0,0,28.57142857,100,0,100,100,100,0,100,100,100
0,100,4.385964912,0,17.27272727,0,100,100,57.14285714,100,100,100,100,80,100,100
